Company,Symbol,Prediction
Adani Enterprises Ltd.,ADANIENT,Up
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Up
APL Apollo Tubes Ltd.,APLAPOLLO,Down
Ashok Leyland Ltd.,ASHOKLEY,Up
Axis Bank Ltd.,AXISBANK,Up
Bajaj Auto Ltd.,BAJAJ-AUTO,Up
Bajaj Finance Ltd,BAJAJFINSV,Down
Bank of Baroda,BANKBARODA,Down
Bharat Forge Ltd.,BHARATFORG,Down
Bharti Airtel Ltd.,BHARTIARTL,Up
Britannia Industries Ltd.,BRITANNIA,Up
Canara Bank,CANBK,Up
Coforge Ltd.,COFORGE,Up
Colgate Palmolive (India) Ltd.,COLPAL,Up
Eicher Motors Ltd.,EICHERMOT,Down
Federal Bank Ltd.,FEDERALBNK,Up
Godrej Consumer Products Ltd.,GODREJPROP,Down
Grasim Industries Ltd.,GRASIM,Down
HCL Technologies Ltd.,HCLTECH,Up
HDFC Bank Ltd.,HDFCBANK,Up
Hero MotoCorp Ltd.,HEROMOTOCO,Up
Hindalco Industries Ltd.,HINDALCO,Up
Hindustan Unilever Ltd.,HINDUNILVR,Down
ICICI Bank Ltd.,ICICIBANK,Up
IDFC First Bank Ltd.,IDFCFIRSTB,Up
IndusInd Bank Ltd.,INDBANK,Up
InterGlobe Aviation Ltd.,INDIGO,Up
Infosys Ltd.,INFY,Up
ITC Ltd.,ITC,Down
Jindal Steel & Power Ltd.,JINDALSTEL,Down
Jindal Stainless Ltd.,JSL,Down
JSW Steel Ltd.,JSWSTEEL,Up
Kotak Mahindra Bank Ltd.,KOTAKBANK,Up
Larsen & Toubro Ltd.,LT,Up
LTIMindtree Ltd.,LTIM,Up
L&T Technology Services Ltd.,LTTS,Up
Mahindra & Mahindra Ltd.,M&M,Up
Marico Ltd.,MARICO,Down
Maruti Suzuki India Ltd.,MARUTI,Up
Samvardhana Motherson International Ltd.,MOTHERSON,Up
MphasiS Ltd.,MPHASIS,Up
National Aluminium Co. Ltd.,NATIONALUM,Up
Nestle India Ltd.,NESTLEIND,Down
NMDC Ltd.,NMDC,Up
Oil & Natural Gas Corporation Ltd.,ONGC,Up
Persistent Systems Ltd.,PERSISTENT,Up
Power Grid Corporation of India Ltd.,POWERGRID,Up
Reliance Industries Ltd.,RELIANCE,Up
State Bank of India,SBIN,Up
Tata Consumer Products Ltd.,TATACONSUM,Up
Tata Motors Ltd.,TATAMOTORS,Down
Tata Steel Ltd.,TATASTEEL,Up
Tata Consultancy Services Ltd.,TCS,Up
Tech Mahindra Ltd.,TECHM,Up
TVS Motor Company Ltd.,TVSMOTOR,Up
UltraTech Cement Ltd.,ULTRACEMCO,Up
Varun Beverages Ltd.,VBL,Down
Vedanta Ltd.,VEDL,Up
Wipro Ltd.,WIPRO,Up
NIFTY 50,NIFTY 50,Up
NIFTY METAL,NIFTY METAL,Up
NIFTY FIN SERVICE,NIFTY FIN SERVICE,Up
NIFTY AUTO,NIFTY AUTO,Up
NIFTY FMCG,NIFTY FMCG,Up
NIFTY IT,NIFTY IT,Up
NIFTY BANK,NIFTY BANK,Up
NIFTY PSU BANK,NIFTY PSU BANK,Up
NIFTY INFRA,NIFTY INFRA,Up
